month,hot_tub,pool,month,city,host_type,bedrooms,bathrooms,guests,revenue,openness,occupancy,nightly_rate,lead_time,length_stay
2022-12,1,0,2019-1,Big Bear Lake,2-5 Units,3.0,2.0,10.0,12699.394811324999,31.0,1.0,449.9599915,8.0,9.195185360864706
2022-12,0,0,2019-10,Big Bear Lake,2-5 Units,3.0,2.0,10.0,449.9599915,31.0,0.032258065,449.9599915,8.0,1.0
2022-12,0,0,2019-11,Big Bear Lake,2-5 Units,3.0,2.0,10.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-12,Big Bear Lake,2-5 Units,3.0,2.0,10.0,4949.679932,31.0,0.35483871,449.9709029,41.0,2.4
2022-12,0,1,2019-2,Big Bear Lake,2-5 Units,3.0,2.0,10.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-3,Big Bear Lake,2-5 Units,3.0,2.0,10.0,899.9199829,31.0,0.064516129,449.9599915,8.0,1.0
2022-12,1,0,2019-4,Big Bear Lake,2-5 Units,3.0,2.0,10.0,0.0,30.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-5,Big Bear Lake,2-5 Units,3.0,2.0,10.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,0,0,2019-6,Big Bear Lake,2-5 Units,3.0,2.0,10.0,11248.99979,30.0,0.833333333,449.9599915,8.0,9.195185360864706
2022-12,1,0,2019-7,Big Bear Lake,2-5 Units,3.0,2.0,10.0,6749.399872,31.0,0.483870968,449.9599915,8.0,1.0
2022-12,1,1,2019-8,Big Bear Lake,2-5 Units,3.0,2.0,10.0,899.9199829,31.0,0.064516129,449.9599915,8.0,1.0
2022-12,1,0,2019-9,Big Bear Lake,2-5 Units,3.0,2.0,10.0,449.9599915,30.0,0.033333333,449.9599915,8.0,1.0
2022-12,1,0,2019-1,Big Bear Lake,Single Owners,3.0,2.0,8.0,9353.98996,31.0,1.0,301.7416116,61.420509736902886,9.195185360864706
2022-12,0,0,2019-2,Big Bear Lake,Single Owners,3.0,2.0,8.0,8499.079956,28.5,1.0,303.5385699,30.968203896761153,4.749502715945883
2022-12,1,1,2019-3,Big Bear Lake,Single Owners,3.0,2.0,8.0,9483.96994,31.0,1.0,305.9345142,30.968203896761153,4.749502715945883
2022-12,0,0,2019-4,Big Bear Lake,Single Owners,3.0,2.0,8.0,0.0,28.5,0.0,327.04738032354703,30.968203896761153,4.749502715945883
2022-12,1,0,2019-1,Big Bear Lake,Professionals,3.0,2.5,8.0,9946.849976,31.0,0.580645161,552.6027764,10.57142857,2.571428571
2022-12,0,1,2019-10,Big Bear Lake,Professionals,3.0,2.5,8.0,12699.394811324999,31.0,0.903225806,494.9500122,2.0,9.195185360864706
2022-12,1,0,2019-11,Big Bear Lake,Professionals,3.0,2.5,8.0,5104.59996,30.0,0.7,243.0761886,20.33333333,6.333333333
2022-12,1,0,2019-12,Big Bear Lake,Professionals,3.0,2.5,8.0,9445.549866,31.0,0.451612903,581.2137443249999,26.71428571,2.0
2022-12,1,0,2019-2,Big Bear Lake,Professionals,3.0,2.5,8.0,11044.70001,28.5,0.75,525.9380958,20.625,2.75
2022-12,0,0,2019-3,Big Bear Lake,Professionals,3.0,2.5,8.0,2969.690063,31.0,0.193548387,494.9483439,2.75,1.25
2022-12,0,0,2019-4,Big Bear Lake,Professionals,3.0,2.5,8.0,1484.850037,30.0,0.1,494.9500122,1.0,1.0
2022-12,0,0,2019-5,Big Bear Lake,Professionals,3.0,2.5,8.0,494.9500122,31.0,0.032258065,494.9500122,1.0,1.0
2022-12,1,1,2019-6,Big Bear Lake,Professionals,3.0,2.5,8.0,4454.55011,30.0,0.3,494.9500122,1.0,9.195185360864706
2022-12,0,0,2019-7,Big Bear Lake,Professionals,3.0,2.5,8.0,12699.394811324999,31.0,1.0,494.9500122,30.968203896761153,4.749502715945883
2022-12,0,0,2019-8,Big Bear Lake,Professionals,3.0,2.5,8.0,2474.750061,31.0,0.161290323,494.9500122,1.0,9.195185360864706
2022-12,0,0,2019-9,Big Bear Lake,Professionals,3.0,2.5,8.0,12699.394811324999,30.0,1.0,494.9500122,30.968203896761153,4.749502715945883
2022-12,1,0,2019-1,Big Bear Lake,Professionals,3.0,2.5,7.0,6027.410034,31.0,0.483870968,401.8273356,7.1,1.8
2022-12,0,0,2019-10,Big Bear Lake,Professionals,3.0,2.5,7.0,8373.43988,31.0,0.838709677,322.05538,20.71428571,1.857142857
2022-12,1,1,2019-11,Big Bear Lake,Professionals,3.0,2.5,7.0,10969.95999,30.0,1.0,365.665333,4.0,1.5
2022-12,0,0,2019-12,Big Bear Lake,Professionals,3.0,2.5,7.0,8894.0,31.0,0.612903226,468.1052632,2.2,1.333333333
2022-12,1,0,2019-2,Big Bear Lake,Professionals,3.0,2.5,7.0,4589.539978,28.5,0.428571429,382.4616648,7.857142857,1.714285714
2022-12,1,1,2019-3,Big Bear Lake,Professionals,3.0,2.5,7.0,4714.57991,31.0,0.35483871,428.5981737,2.142857143,1.571428571
2022-12,1,0,2019-4,Big Bear Lake,Professionals,3.0,2.5,7.0,7040.209885,30.0,0.8,293.3420785,19.0,8.0
2022-12,0,0,2019-5,Big Bear Lake,Professionals,3.0,2.5,7.0,5011.539902,31.0,0.419354839,385.5030694,1.363636364,1.272727273
2022-12,1,0,2019-6,Big Bear Lake,Professionals,3.0,2.5,7.0,10731.86998,30.0,1.0,357.7289993,61.420509736902886,9.195185360864706
2022-12,1,0,2019-7,Big Bear Lake,Professionals,3.0,2.5,7.0,12699.394811324999,31.0,0.838709677,506.8738427,61.420509736902886,6.25
2022-12,0,0,2019-8,Big Bear Lake,Professionals,3.0,2.5,7.0,12699.394811324999,31.0,1.0,524.470329,61.420509736902886,9.195185360864706
2022-12,0,0,2019-9,Big Bear Lake,Professionals,3.0,2.5,7.0,7036.890015,30.0,0.8,293.2037506,49.5,4.25
2022-12,0,0,2019-1,Joshua Tree,2-5 Units,3.0,2.0,12.0,6549.239929,31.0,0.451612903,467.8028521,38.0,2.428571429
2022-12,1,0,2019-10,Joshua Tree,2-5 Units,3.0,2.0,12.0,11373.95004,31.0,0.806451613,454.9580017,61.420509736902886,3.0
2022-12,0,0,2019-11,Joshua Tree,2-5 Units,3.0,2.0,12.0,11698.99997,30.0,0.866666667,449.9615373,61.420509736902886,2.666666667
2022-12,0,0,2019-12,Joshua Tree,2-5 Units,3.0,2.0,12.0,11899.64001,31.0,0.677419355,566.6495245,58.0,2.75
2022-12,0,0,2019-2,Joshua Tree,2-5 Units,3.0,2.0,12.0,8049.079895,28.5,0.571428571,503.0674934,61.420509736902886,2.166666667
2022-12,1,0,2019-3,Joshua Tree,2-5 Units,3.0,2.0,12.0,12248.61987,31.0,0.870967742,453.6525879,61.420509736902886,2.8
2022-12,0,0,2019-4,Joshua Tree,2-5 Units,3.0,2.0,12.0,12699.394811324999,30.0,0.933333333,503.220714,57.22222222,3.111111111
2022-12,0,0,2019-5,Joshua Tree,2-5 Units,3.0,2.0,12.0,11373.85989,31.0,0.774193548,473.9108289,61.420509736902886,2.777777778
2022-12,0,0,2019-6,Joshua Tree,2-5 Units,3.0,2.0,12.0,10923.91995,30.0,0.766666667,474.9530414,61.420509736902886,2.625
2022-12,0,0,2019-7,Joshua Tree,2-5 Units,3.0,2.0,12.0,11190.6199,31.0,0.774193548,466.2758293,61.420509736902886,2.181818182
2022-12,0,0,2019-8,Joshua Tree,2-5 Units,3.0,2.0,12.0,11207.21994,31.0,0.806451613,448.2887976,61.420509736902886,3.111111111
2022-12,1,0,2019-9,Joshua Tree,2-5 Units,3.0,2.0,12.0,12699.394811324999,30.0,0.966666667,445.3624141,61.420509736902886,2.363636364
2022-12,1,0,2019-1,Big Bear Lake,Professionals,3.0,3.0,9.0,8609.669983,31.0,0.64516129,430.4834991,43.11111111,2.333333333
2022-12,0,0,2019-10,Big Bear Lake,Professionals,3.0,3.0,9.0,7885.279968,31.0,1.0,254.3638699,6.0,2.0
2022-12,0,0,2019-11,Big Bear Lake,Professionals,3.0,3.0,9.0,7932.860001,30.0,0.933333333,283.3164286,4.590909091,1.272727273
2022-12,1,0,2019-12,Big Bear Lake,Professionals,3.0,3.0,9.0,11511.0,31.0,0.709677419,523.2272727,6.384615385,1.692307692
2022-12,0,0,2019-2,Big Bear Lake,Professionals,3.0,3.0,9.0,7102.179932,28.5,0.607142857,417.7752901,15.44444444,1.888888889
2022-12,0,0,2019-3,Big Bear Lake,Professionals,3.0,3.0,9.0,7425.220032,31.0,0.64516129,371.2610016,10.81818182,1.818181818
2022-12,1,0,2019-4,Big Bear Lake,Professionals,3.0,3.0,9.0,3320.689941,30.0,0.5,221.3793294,4.909090909,1.363636364
2022-12,0,0,2019-5,Big Bear Lake,Professionals,3.0,3.0,9.0,7953.049988,31.0,0.967741935,265.1016663,17.2,9.195185360864706
2022-12,1,0,2019-6,Big Bear Lake,Professionals,3.0,3.0,9.0,7283.059998,30.0,1.0,242.7686666,30.968203896761153,4.749502715945883
2022-12,0,0,2019-7,Big Bear Lake,Professionals,3.0,3.0,9.0,7911.930023,31.0,1.0,255.2235491,30.968203896761153,4.749502715945883
2022-12,0,0,2019-8,Big Bear Lake,Professionals,3.0,3.0,9.0,7783.929993,31.0,1.0,251.0945159,30.968203896761153,4.749502715945883
2022-12,1,0,2019-9,Big Bear Lake,Professionals,3.0,3.0,9.0,7645.97998,30.0,1.0,254.8659993,30.968203896761153,4.749502715945883
2022-12,1,0,2019-1,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,0.967741935,581.2137443249999,10.26315789,1.631578947
2022-12,0,0,2019-10,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,1.0,581.2137443249999,1.814814815,1.148148148
2022-12,1,0,2019-11,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,30.0,0.966666667,581.2137443249999,2.214285714,1.035714286
2022-12,1,0,2019-12,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,0.967741935,581.2137443249999,15.0952381,1.476190476
2022-12,0,0,2019-2,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,28.5,1.0,581.2137443249999,8.45,1.4
2022-12,0,0,2019-3,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,1.0,581.2137443249999,3.043478261,1.347826087
2022-12,1,0,2019-4,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,30.0,1.0,569.9473429,2.636363636,1.363636364
2022-12,0,0,2019-5,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,1.0,581.2137443249999,1.851851852,1.148148148
2022-12,0,0,2019-6,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,30.0,0.966666667,581.2137443249999,1.75,1.208333333
2022-12,1,0,2019-7,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,1.0,581.2137443249999,1.75,1.107142857
2022-12,1,0,2019-8,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,31.0,0.935483871,581.2137443249999,1.75,1.208333333
2022-12,1,0,2019-9,Big Bear Lake,Single Owners,5.0,2.0,12.0,12699.394811324999,30.0,1.0,581.2137443249999,1.928571429,1.071428571
2022-12,0,0,2019-1,Big Bear Lake,Professionals,3.0,2.0,7.0,0.0,31.0,0.0,327.04738032354703,30.968203896761153,4.749502715945883
